,ReliefF,MultiSURF,I-Relief,LH-Relief,RF (Gini),MI,mRMR,F-Ratio,PDE-S,PDE-S*
Discrete ANDOR (n30),0.011,0.01,0.013,3.263,0.908,0.973,0.012,0.0,0.047,0.038
Discrete ANDOR (n50),0.016,0.019,0.012,5.4,0.848,0.102,0.004,0.0,0.047,0.041
Discrete ANDOR (n70),0.023,0.026,0.017,5.799,0.87,0.104,0.004,0.0,0.047,0.041
Continuous ANDOR (n30),0.033,0.054,0.012,4.348,0.922,1.052,0.003,0.0,0.045,0.038
Continuous ANDOR (n50),0.05,0.064,0.014,7.56,0.891,0.101,0.007,0.0,0.046,0.04
Continuous ANDOR (n70),0.07,0.097,0.023,10.607,0.952,0.109,0.008,0.0,0.046,0.041
Discrete ADDER (n30),0.013,0.016,0.011,1.166,0.928,1.454,0.013,0.001,0.053,0.093
Discrete ADDER (n50),0.022,0.028,0.013,1.868,0.949,1.669,0.01,0.001,0.054,0.098
Discrete ADDER (n70),0.033,0.04,0.017,2.809,0.976,1.702,0.003,0.001,0.056,0.099
Continuous ADDER (n30),0.036,0.051,0.016,1.115,0.928,1.559,0.004,0.001,0.054,0.091
Continuous ADDER (n50),0.056,0.067,0.016,1.885,0.997,1.713,0.017,0.001,0.055,0.096
Continuous ADDER (n70),0.08,0.099,0.023,2.667,1.065,1.743,0.006,0.001,0.057,0.098
SD-2,1.551,1.484,4.622,53.85,1.123,3.615,7.025,0.002,1.121,1.124
SD-3,2.391,2.47,10.243,81.06,1.506,5.163,7.242,0.002,1.409,2.015
SD-4,3.814,3.778,18.452,145.53,1.96,6.577,11.04,0.003,1.717,3.149
Average,0.547,0.554,2.234,21.928,1.055,1.842,1.693,0.001,0.324,0.474
