,kNN,SVM,Gaussian-NB,LDA
RlfF-5,0.14583333333333331,0.7083333333333333,0.35416666666666663,0.6875
RlfF-10,0.24999999999999997,0.8541666666666666,0.3125,0.9375
RlfF-15,0.2708333333333333,0.8541666666666666,0.29166666666666663,0.9375
RlfF-20,0.33333333333333326,0.9166666666666666,0.3125,0.9166666666666666
RlfF-25,0.45833333333333326,0.9791666666666666,0.22916666666666666,0.8958333333333333
RlfF-30,0.5625,0.9791666666666666,0.20833333333333331,0.8333333333333333
MSurf-5,0.375,0.7291666666666666,0.4583333333333333,0.8125
MSurf-10,0.25,0.7708333333333333,0.2708333333333333,0.8541666666666666
MSurf-15,0.2708333333333333,0.8541666666666666,0.29166666666666663,0.9375
MSurf-20,0.41666666666666663,0.8958333333333333,0.3125,0.9166666666666666
MSurf-25,0.4375,0.9791666666666666,0.3125,0.8125
MSurf-30,0.47916666666666663,1.0,0.29166666666666663,0.875
RlfI-5,0.35416666666666663,0.8958333333333333,0.5208333333333333,0.8125
RlfI-10,0.375,0.9583333333333333,0.375,0.9166666666666666
RlfI-15,0.3125,0.9791666666666666,0.3333333333333333,0.8958333333333333
RlfI-20,0.25,0.9791666666666666,0.3333333333333333,0.8958333333333333
RlfI-25,0.3333333333333333,0.9791666666666666,0.3333333333333333,0.875
RlfI-30,0.41666666666666663,0.9791666666666666,0.29166666666666663,0.9375
RlfLM-5,0.4583333333333333,0.6041666666666666,0.3333333333333333,0.7083333333333333
RlfLM-10,0.35416666666666663,0.9166666666666666,0.41666666666666663,0.9166666666666666
RlfLM-15,0.39583333333333326,0.9166666666666666,0.41666666666666663,0.8958333333333333
RlfLM-20,0.4375,0.9583333333333333,0.3125,0.9375
RlfLM-25,0.5416666666666666,1.0,0.29166666666666663,0.9166666666666666
RlfLM-30,0.5416666666666666,0.9791666666666666,0.16666666666666666,0.7916666666666666
MI-5,0.35416666666666663,0.7708333333333333,0.3958333333333333,0.8333333333333333
MI-10,0.5,0.9375,0.4583333333333333,0.9166666666666666
MI-15,0.3958333333333333,1.0,0.375,0.9166666666666666
MI-20,0.3333333333333333,0.9583333333333333,0.35416666666666663,0.875
MI-25,0.4166666666666667,0.9791666666666666,0.2708333333333333,0.8333333333333333
MI-30,0.25,1.0,0.22916666666666666,0.7291666666666666
RFGini-5,0.375,0.7083333333333333,0.41666666666666663,0.8333333333333333
RFGini-10,0.35416666666666663,0.9583333333333333,0.45833333333333326,0.9583333333333333
RFGini-15,0.25,1.0,0.35416666666666663,0.9375
RFGini-20,0.29166666666666663,1.0,0.29166666666666663,0.9375
RFGini-25,0.45833333333333326,1.0,0.2916666666666667,0.8541666666666666
RFGini-30,0.49999999999999994,0.9791666666666666,0.3125,0.75
RFEtry-5,0.22916666666666666,0.75,0.4375,0.8125
RFEtry-10,0.35416666666666663,0.9583333333333333,0.3958333333333333,0.9375
RFEtry-15,0.35416666666666663,0.9583333333333333,0.35416666666666663,0.875
RFEtry-20,0.3125,0.9166666666666666,0.2708333333333333,0.9375
RFEtry-25,0.29166666666666663,0.9583333333333333,0.29166666666666663,0.9166666666666666
RFEtry-30,0.25,0.9375,0.22916666666666663,0.8125
OA-5,0.020833333333333332,0.10416666666666666,0.22916666666666666,0.0
OA-10,0.020833333333333332,0.10416666666666666,0.22916666666666666,0.0
OA-15,0.020833333333333332,0.125,0.22916666666666666,0.0
OA-20,0.020833333333333332,0.125,0.22916666666666666,0.0
OA-25,0.020833333333333332,0.125,0.22916666666666666,0.0
OA-30,0.020833333333333332,0.125,0.22916666666666666,0.0
