,kNN,SVM,Gaussian-NB,LDA
RlfF-5,0.8888888888888888,0.8688888888888888,0.8844444444444444,0.8488888888888889
RlfF-10,0.9444444444444444,0.8288888888888889,0.8844444444444444,0.7733333333333333
RlfF-15,0.9444444444444444,0.8844444444444444,0.8844444444444444,0.7177777777777778
RlfF-20,0.9444444444444444,0.9244444444444444,0.9044444444444444,0.7733333333333333
RlfF-25,0.9444444444444444,0.9044444444444444,0.9044444444444444,0.788888888888889
RlfF-30,0.9444444444444444,0.9044444444444444,0.9044444444444444,0.5222222222222221
MSurf-5,0.8688888888888888,0.8688888888888888,0.9044444444444444,0.8688888888888888
MSurf-10,0.8888888888888888,0.8133333333333332,0.9044444444444444,0.8688888888888888
MSurf-15,0.9444444444444444,0.9244444444444444,0.9244444444444444,0.7533333333333333
MSurf-20,1.0,0.9044444444444444,0.9044444444444444,0.8288888888888889
MSurf-25,0.96,0.96,0.9044444444444444,0.8688888888888888
MSurf-30,1.0,0.96,0.9244444444444444,0.6377777777777778
RlfI-5,0.8888888888888888,0.8488888888888889,0.9044444444444444,0.9244444444444444
RlfI-10,0.9244444444444444,0.9244444444444444,0.9044444444444444,0.7733333333333333
RlfI-15,0.9244444444444444,0.9044444444444444,0.9044444444444444,0.8288888888888889
RlfI-20,0.9244444444444444,0.9044444444444444,0.9044444444444444,0.7533333333333333
RlfI-25,0.9244444444444444,0.9244444444444444,0.9044444444444444,0.6377777777777778
RlfI-30,0.9244444444444444,0.9244444444444444,0.9044444444444444,0.5577777777777778
RlfLM-5,0.8688888888888888,0.9244444444444444,0.9044444444444444,0.8688888888888888
RlfLM-10,0.9444444444444444,0.8288888888888889,0.9044444444444444,0.7733333333333333
RlfLM-15,0.9444444444444444,0.9044444444444444,0.9044444444444444,0.7733333333333333
RlfLM-20,0.9244444444444444,0.9244444444444444,0.9044444444444444,0.6977777777777778
RlfLM-25,0.9244444444444444,0.9244444444444444,0.9044444444444444,0.5822222222222222
RlfLM-30,0.9244444444444444,0.9244444444444444,0.9044444444444444,0.4066666666666666
MI-5,0.9044444444444444,0.8288888888888889,0.9044444444444444,0.9044444444444444
MI-10,0.9244444444444444,0.9244444444444444,0.9044444444444444,0.8844444444444444
MI-15,0.9044444444444444,0.9044444444444444,0.9044444444444444,0.8844444444444444
MI-20,0.9044444444444444,0.9044444444444444,0.9044444444444444,0.7733333333333333
MI-25,0.9244444444444444,0.9044444444444444,0.9044444444444444,0.6377777777777778
MI-30,0.9244444444444444,0.9244444444444444,0.9044444444444444,0.5777777777777777
FT-5,0.8688888888888888,0.9244444444444444,0.9044444444444444,0.8688888888888888
FT-10,0.9444444444444444,0.9044444444444444,0.9044444444444444,0.7733333333333333
FT-15,0.9244444444444444,0.8488888888888889,0.8844444444444444,0.7733333333333333
FT-20,0.9444444444444444,0.9044444444444444,0.9044444444444444,0.6977777777777778
FT-25,0.9444444444444444,0.9044444444444444,0.8844444444444444,0.7333333333333334
FT-30,0.9044444444444444,0.9044444444444444,0.9044444444444444,0.4422222222222222
RFGini-5,0.8333333333333333,0.7933333333333333,0.8644444444444443,0.8488888888888889
RFGini-10,0.9244444444444444,0.9044444444444444,0.9044444444444444,0.8488888888888889
RFGini-15,0.9244444444444444,0.8844444444444444,0.9044444444444444,0.8844444444444444
RFGini-20,0.9244444444444444,0.9044444444444444,0.9044444444444444,0.8288888888888889
RFGini-25,0.9244444444444444,0.9244444444444444,0.9044444444444444,0.768888888888889
RFGini-30,0.9444444444444444,0.9044444444444444,0.9044444444444444,0.7644444444444445
RFEtry-5,0.8133333333333332,0.8133333333333332,0.9044444444444444,0.8688888888888888
RFEtry-10,0.9244444444444444,0.8688888888888888,0.8844444444444444,0.8088888888888889
RFEtry-15,0.9244444444444444,0.8844444444444444,0.9044444444444444,0.7733333333333333
RFEtry-20,0.9044444444444444,0.9044444444444444,0.9044444444444444,0.8088888888888889
RFEtry-25,0.9444444444444444,0.9044444444444444,0.9044444444444444,0.8244444444444444
RFEtry-30,0.9244444444444444,0.9044444444444444,0.9044444444444444,0.5422222222222222
OA-5,0.9044444444444444,0.8844444444444444,0.8444444444444444,0.8688888888888888
OA-10,0.9044444444444444,0.9044444444444444,0.9044444444444444,0.9044444444444444
OA-15,0.8844444444444444,0.8488888888888889,0.9044444444444444,0.8288888888888889
OA-20,0.8844444444444444,0.9044444444444444,0.9044444444444444,0.8288888888888889
OA-25,0.9044444444444444,0.9244444444444444,0.9244444444444444,0.6533333333333333
OA-30,0.9044444444444444,0.9044444444444444,0.9244444444444444,0.5933333333333333
