,kNN,SVM,Gaussian-NB,LDA
RlfF-5,0.8261363636363637,0.7579545454545455,0.8261363636363637,0.7477272727272727
RlfF-10,0.7931818181818182,0.8159090909090909,0.8261363636363637,0.7704545454545455
RlfF-15,0.8159090909090909,0.8261363636363637,0.8136363636363637,0.725
RlfF-20,0.803409090909091,0.7806818181818183,0.8136363636363637,0.7431818181818182
RlfF-25,0.8261363636363637,0.803409090909091,0.8488636363636364,0.7909090909090909
RlfF-30,0.8136363636363637,0.8488636363636364,0.8488636363636364,0.7204545454545455
MSurf-5,0.7909090909090909,0.7806818181818183,0.8488636363636364,0.7477272727272727
MSurf-10,0.803409090909091,0.7931818181818182,0.8488636363636364,0.8056818181818182
MSurf-15,0.8386363636363636,0.7931818181818182,0.8261363636363637,0.7806818181818183
MSurf-20,0.803409090909091,0.7806818181818183,0.8136363636363637,0.7431818181818182
MSurf-25,0.8488636363636364,0.7454545454545455,0.8488636363636364,0.7681818181818182
MSurf-30,0.8363636363636364,0.7909090909090909,0.8363636363636364,0.7204545454545455
RlfI-5,0.4965909090909091,0.7159090909090908,0.6738636363636363,0.5795454545454546
RlfI-10,0.7261363636363636,0.7511363636363637,0.7193181818181817,0.7386363636363636
RlfI-15,0.7488636363636363,0.7534090909090909,0.7443181818181819,0.7511363636363637
RlfI-20,0.759090909090909,0.7738636363636364,0.7193181818181817,0.7056818181818182
RlfI-25,0.7238636363636364,0.7136363636363636,0.7318181818181818,0.6681818181818182
RlfI-30,0.7340909090909091,0.7488636363636363,0.7318181818181818,0.6863636363636363
RlfLM-5,0.8363636363636364,0.8363636363636364,0.8261363636363637,0.7579545454545455
RlfLM-10,0.8488636363636364,0.8261363636363637,0.8261363636363637,0.7806818181818183
RlfLM-15,0.803409090909091,0.803409090909091,0.8363636363636364,0.7806818181818183
RlfLM-20,0.8136363636363637,0.8136363636363637,0.8113636363636363,0.7659090909090909
RlfLM-25,0.8011363636363636,0.7784090909090908,0.8090909090909091,0.7534090909090909
RlfLM-30,0.8136363636363637,0.8590909090909091,0.821590909090909,0.7306818181818182
MI-5,0.8488636363636364,0.8818181818181818,0.8443181818181817,0.8261363636363637
MI-10,0.8818181818181818,0.9045454545454545,0.8295454545454546,0.8261363636363637
MI-15,0.8590909090909091,0.8818181818181818,0.8193181818181818,0.7784090909090908
MI-20,0.8261363636363637,0.8818181818181818,0.8420454545454545,0.7886363636363636
MI-25,0.8261363636363637,0.8465909090909092,0.8420454545454545,0.7659090909090909
MI-30,0.8136363636363637,0.8590909090909091,0.8795454545454545,0.6852272727272727
FT-5,0.7806818181818183,0.7477272727272727,0.8386363636363636,0.7704545454545455
FT-10,0.8159090909090909,0.8488636363636364,0.8488636363636364,0.7579545454545455
FT-15,0.803409090909091,0.8488636363636364,0.8488636363636364,0.7477272727272727
FT-20,0.8261363636363637,0.8488636363636364,0.8715909090909091,0.7704545454545455
FT-25,0.8488636363636364,0.8715909090909091,0.8590909090909091,0.7102272727272727
FT-30,0.8488636363636364,0.8590909090909091,0.8590909090909091,0.7102272727272727
RFGini-5,0.8261363636363637,0.8363636363636364,0.8261363636363637,0.8261363636363637
RFGini-10,0.8715909090909091,0.7681818181818182,0.8488636363636364,0.803409090909091
RFGini-15,0.8261363636363637,0.8715909090909091,0.8715909090909091,0.7704545454545455
RFGini-20,0.8261363636363637,0.8488636363636364,0.8818181818181818,0.7352272727272727
RFGini-25,0.8488636363636364,0.8715909090909091,0.8590909090909091,0.7909090909090909
RFGini-30,0.8261363636363637,0.8943181818181818,0.8590909090909091,0.6977272727272728
RFEtry-5,0.8261363636363637,0.8363636363636364,0.8261363636363637,0.8261363636363637
RFEtry-10,0.8488636363636364,0.8715909090909091,0.8715909090909091,0.8261363636363637
RFEtry-15,0.8488636363636364,0.8488636363636364,0.8943181818181818,0.7579545454545455
RFEtry-20,0.8261363636363637,0.8715909090909091,0.8818181818181818,0.7352272727272727
RFEtry-25,0.8488636363636364,0.8363636363636364,0.8693181818181819,0.7579545454545455
RFEtry-30,0.8488636363636364,0.8715909090909091,0.8590909090909091,0.7329545454545454
OA-5,0.7579545454545455,0.803409090909091,0.8488636363636364,0.7931818181818182
OA-10,0.7909090909090909,0.7579545454545455,0.8488636363636364,0.7352272727272727
OA-15,0.8363636363636364,0.8136363636363637,0.8488636363636364,0.7477272727272727
OA-20,0.7909090909090909,0.8011363636363636,0.8238636363636364,0.7125
OA-25,0.803409090909091,0.7886363636363636,0.8443181818181817,0.7204545454545455
OA-30,0.8136363636363637,0.8261363636363637,0.8318181818181818,0.7534090909090909
