,kNN,SVM,Gaussian-NB,LDA
RlfF-5,0.7692982456140351,0.7160818713450292,0.6871345029239766,0.7216374269005847
RlfF-10,0.7687134502923977,0.7745614035087719,0.6073099415204679,0.7637426900584796
RlfF-15,0.7666666666666666,0.7529239766081872,0.6178362573099415,0.7584795321637428
RlfF-20,0.7947368421052632,0.791812865497076,0.6181286549707602,0.7859649122807018
RlfF-25,0.8330409356725146,0.8494152046783625,0.6312865497076023,0.7938596491228069
RlfF-30,0.8523391812865497,0.8488304093567252,0.6429824561403509,0.826608187134503
MSurf-5,0.7941520467836258,0.75,0.7339181286549707,0.7304093567251462
MSurf-10,0.8108187134502924,0.7692982456140351,0.7172514619883041,0.7605263157894737
MSurf-15,0.8514619883040935,0.8769005847953216,0.7777777777777778,0.8154970760233918
MSurf-20,0.8508771929824561,0.8880116959064328,0.7967836257309941,0.8181286549707603
MSurf-25,0.8538011695906433,0.9122807017543859,0.8023391812865497,0.8181286549707603
MSurf-30,0.8593567251461989,0.9017543859649123,0.8187134502923976,0.8184210526315789
RlfI-5,0.7134502923976608,0.7292397660818712,0.7078947368421052,0.695906432748538
RlfI-10,0.7461988304093568,0.7347953216374269,0.6877192982456141,0.7204678362573099
RlfI-15,0.7485380116959064,0.7842105263157895,0.7406432748538012,0.7511695906432748
RlfI-20,0.762280701754386,0.7847953216374268,0.7517543859649123,0.7792397660818713
RlfI-25,0.7932748538011696,0.8122807017543859,0.7628654970760234,0.8181286549707603
RlfI-30,0.8043859649122806,0.8204678362573099,0.7795321637426901,0.7932748538011696
RlfLM-5,0.7330409356725147,0.7690058479532164,0.6570175438596491,0.7289473684210526
RlfLM-10,0.795906432748538,0.8204678362573099,0.7441520467836258,0.8043859649122806
RlfLM-15,0.831578947368421,0.8242690058479532,0.7830409356725146,0.8099415204678363
RlfLM-20,0.8201754385964912,0.8435672514619883,0.7798245614035088,0.8119883040935673
RlfLM-25,0.8423976608187135,0.8654970760233918,0.7330409356725146,0.8184210526315789
RlfLM-30,0.8257309941520468,0.8681286549707602,0.7441520467836258,0.8149122807017544
MI-5,0.8166666666666667,0.7935672514619883,0.7497076023391813,0.7435672514619883
MI-10,0.8076023391812865,0.7961988304093568,0.752046783625731,0.7403508771929824
MI-15,0.8108187134502924,0.7546783625730994,0.7441520467836258,0.7681286549707602
MI-20,0.8076023391812865,0.804093567251462,0.7444444444444445,0.7517543859649123
MI-25,0.8242690058479532,0.7932748538011696,0.7502923976608187,0.7654970760233919
MI-30,0.8187134502923976,0.7847953216374268,0.7555555555555555,0.7713450292397661
FT-5,0.808187134502924,0.795906432748538,0.763157894736842,0.745906432748538
FT-10,0.8269005847953217,0.7798245614035088,0.7850877192982456,0.7599415204678363
FT-15,0.8321637426900585,0.8017543859649123,0.7801169590643275,0.7628654970760234
FT-20,0.810233918128655,0.8128654970760234,0.7771929824561403,0.7850877192982456
FT-25,0.7991228070175438,0.8429824561403508,0.7663742690058479,0.7821637426900585
FT-30,0.810233918128655,0.802046783625731,0.7584795321637428,0.7707602339181286
RFGini-5,0.7970760233918128,0.7578947368421052,0.7108187134502923,0.7076023391812866
RFGini-10,0.8157894736842105,0.8128654970760234,0.7467836257309941,0.7628654970760234
RFGini-15,0.8239766081871345,0.810233918128655,0.7444444444444445,0.7850877192982456
RFGini-20,0.8043859649122806,0.7850877192982456,0.7605263157894737,0.7713450292397661
RFGini-25,0.7961988304093568,0.8184210526315789,0.7716374269005848,0.7929824561403509
RFGini-30,0.7821637426900585,0.8096491228070175,0.7716374269005848,0.7792397660818713
RFEtry-5,0.8192982456140351,0.7605263157894737,0.7304093567251462,0.7213450292397661
RFEtry-10,0.8187134502923976,0.7906432748538013,0.7605263157894737,0.7461988304093568
RFEtry-15,0.8046783625730994,0.8043859649122806,0.7692982456140351,0.7932748538011696
RFEtry-20,0.8154970760233918,0.8046783625730994,0.7745614035087719,0.776608187134503
RFEtry-25,0.8321637426900585,0.8321637426900585,0.7719298245614035,0.7821637426900585
RFEtry-30,0.8043859649122806,0.82953216374269,0.7584795321637428,0.7821637426900585
OA-5,0.7192982456140351,0.7064327485380117,0.7260233918128655,0.6280701754385964
OA-10,0.6839181286549707,0.7143274853801169,0.7236842105263157,0.6532163742690058
OA-15,0.7339181286549707,0.7125730994152046,0.7380116959064327,0.6845029239766082
OA-20,0.7242690058479533,0.7318713450292398,0.7409356725146199,0.695906432748538
OA-25,0.752046783625731,0.7242690058479533,0.7298245614035088,0.6880116959064327
OA-30,0.7441520467836258,0.6909356725146198,0.7412280701754386,0.6853801169590643
