,kNN,SVM,Gaussian-NB,LDA
RlfF-5,0.9059546768374412,0.9096703760803921,0.8660031766086252,0.8963619008305518
RlfF-10,0.9711882318651741,0.9839056126093692,0.9725185165158591,0.9696775421331459
RlfF-15,0.9902652287962693,0.9916350918099679,0.984640569767355,0.990216652093656
RlfF-20,0.9916350918099679,0.9957932575536773,0.9870655785485282,0.9915865151073545
RlfF-25,0.9930049548236666,0.9943748178373653,0.9857322452151948,0.9943748178373653
RlfF-30,0.9888467890799572,0.9957446808510639,0.9831195659484788,0.9943748178373653
MSurf-5,0.545312339405641,0.5043924140335238,0.43789793177544994,0.5082885056091804
MSurf-10,0.7967742396647021,0.8077860396271594,0.584539801464159,0.8007227487995401
MSurf-15,0.87681782285813,0.9087224186538055,0.7443502173642589,0.8760282654864067
MSurf-20,0.9323100987228063,0.9590116359886107,0.8820488158494572,0.9505616214155997
MSurf-25,0.9513193282963031,0.9716804400301922,0.9144001524561128,0.9716439103498269
MSurf-30,0.9495069987818459,0.9744687427602029,0.933232921552362,0.9746078365431323
RlfI-5,0.3362940332422905,0.2892737923633907,0.3485760093513449,0.2786160334770412
RlfI-10,0.4665285448573976,0.4987469202150739,0.4779600958873337,0.45484824813946834
RlfI-15,0.607310371719479,0.6863336313876716,0.5943212269639825,0.6548034265698298
RlfI-20,0.6910200676732815,0.7882487834942958,0.6695178843593128,0.7577293613856098
RlfI-25,0.7784683559050147,0.8672566880887727,0.7501958507143414,0.8166926457509891
RlfI-30,0.8894511755781837,0.9325769575861642,0.8236793660674367,0.9234027171301674
RlfLM-5,0.7292335435979204,0.7371181367823232,0.661275400889679,0.7208805351614
RlfLM-10,0.9467263821610523,0.9530302780126018,0.9313496001543904,0.9606313788793772
RlfLM-15,0.9849216873216564,0.9901854144164224,0.978751474555699,0.9821369564080145
RlfLM-20,0.9923748178373654,0.9929528063046845,0.9911770064705927,0.9951265908870106
RlfLM-25,0.9901159268720605,0.9943712460209966,0.9937896857373086,0.990216652093656
RlfLM-30,0.9964443053817271,0.9971109720483937,0.9944928820843405,0.9929528063046845
MI-5,0.9286332177603457,0.9162929109226365,0.9326973394474036,0.9108397804069277
MI-10,0.9870607811045857,0.9849235262026251,0.9804619877410866,0.9828540386582632
MI-15,0.9950780141843971,0.9972482269503546,0.9878959276018101,0.991144048606596
MI-20,0.9985815602836879,0.9971631205673759,0.9919827669201886,0.9979148936170212
MI-25,0.9985815602836879,0.9985815602836879,1.0,0.9972116972699894
MI-30,0.9971631205673759,0.9971631205673759,1.0,0.9957932575536773
FT-5,0.7538298769141089,0.6697480438535525,0.6877643656256306,0.6802783220859584
FT-10,0.9373524501341464,0.9374861332197385,0.9363770000523134,0.9184763356724884
FT-15,0.9936595744680851,0.9950780141843971,0.9859132793758267,0.9908712717380744
FT-20,0.9957446808510639,0.9971631205673759,0.9894168254751176,0.991537938404741
FT-25,0.9972116972699894,1.0,0.9913628380751668,0.9943748178373653
FT-30,0.9972116972699894,1.0,0.9906961714085002,0.9957446808510639
RFGini-5,0.827782444951166,0.808590898000794,0.8070928681048007,0.7950084360807526
RFGini-10,0.9691810275665095,0.9767690382208529,0.9582652481390287,0.9702223933763359
RFGini-15,0.9795381630445151,0.9913850646641634,0.978470462946966,0.9860848078890323
RFGini-20,0.9889738358406385,0.9917621385706493,0.9844397611520899,0.9849912935602239
RFGini-25,0.990343698854337,0.9972116972699894,0.9863371970495258,0.990119498688429
RFGini-30,0.9943262411347519,0.9960174577195854,0.9863371970495258,0.990119498688429
RFEtry-5,0.886809886611865,0.8973966487790103,0.876792698372087,0.8818819669652045
RFEtry-10,0.9762043065774615,0.9794632648028159,0.9791023328686675,0.9677943935011847
RFEtry-15,0.9886524822695035,0.9903922755569508,0.9885277975235113,0.988701058972117
RFEtry-20,0.9943262411347519,0.9931805782869614,0.9888527229110149,0.9900709219858156
RFEtry-25,0.9957446808510639,0.9957446808510639,0.9896044959606602,0.9943262411347519
RFEtry-30,0.9957446808510639,0.9971631205673759,0.9914654021777309,0.9943262411347519
OA-5,0.9153628380751668,0.9306252494226847,0.9202243346860077,0.8918046917621385
OA-10,0.9844457398231808,0.990119498688429,0.9795674431465746,0.9829787234042554
OA-15,0.989404255319149,0.9896770321876704,0.9829858828628867,0.9851489361702127
OA-20,0.9950780141843971,0.9964964539007092,0.9850589422236172,0.9936595744680851
OA-25,0.992241134751773,0.9950780141843971,0.9884773819399294,0.9936595744680851
OA-30,0.990822695035461,0.9964964539007092,0.989144048606596,0.9936595744680851
