,kNN,SVM,Gaussian-NB,LDA
RlfF-5,0.9093617021276595,0.9093617021276595,0.8880851063829787,0.8987234042553192
RlfF-10,0.9493617021276596,0.9493617021276596,0.9587234042553192,0.9293617021276596
RlfF-15,0.9293617021276596,0.9693617021276595,0.9587234042553192,0.9493617021276596
RlfF-20,0.9493617021276596,0.9693617021276595,0.9587234042553192,0.9493617021276596
RlfF-25,0.9493617021276596,0.9693617021276595,0.9587234042553192,0.9293617021276596
RlfF-30,0.9493617021276596,0.9693617021276595,0.9587234042553192,0.9
MSurf-5,0.9293617021276596,0.8987234042553192,0.9587234042553192,0.9293617021276596
MSurf-10,0.9093617021276595,0.9693617021276595,0.9693617021276595,0.9493617021276596
MSurf-15,0.9293617021276596,0.9693617021276595,0.9693617021276595,0.9893617021276595
MSurf-20,0.9693617021276595,0.9493617021276596,0.9787234042553192,0.9493617021276596
MSurf-25,0.9493617021276596,0.9893617021276595,0.9787234042553192,0.98
MSurf-30,0.9493617021276596,0.9493617021276596,0.9787234042553192,0.9293617021276596
RlfI-5,0.8787234042553191,0.8880851063829787,0.8974468085106383,0.8787234042553191
RlfI-10,0.94,0.9187234042553192,0.9480851063829787,0.96
RlfI-15,0.94,0.96,0.9480851063829787,0.96
RlfI-20,0.9199999999999999,0.9493617021276596,0.9480851063829787,0.96
RlfI-25,0.88,0.9493617021276596,0.9374468085106382,0.9093617021276595
RlfI-30,0.9,0.9199999999999999,0.9480851063829787,0.8787234042553191
RlfLM-5,0.9293617021276596,0.9080851063829787,0.9174468085106383,0.8693617021276596
RlfLM-10,0.9493617021276596,0.9293617021276596,0.9587234042553192,0.94
RlfLM-15,0.9493617021276596,0.9693617021276595,0.9693617021276595,0.9493617021276596
RlfLM-20,0.9493617021276596,0.9693617021276595,0.9693617021276595,0.9493617021276596
RlfLM-25,0.9693617021276595,0.9693617021276595,0.9693617021276595,0.9293617021276596
RlfLM-30,0.9693617021276595,0.9693617021276595,0.9693617021276595,0.9093617021276595
MI-5,0.9293617021276596,0.9587234042553192,0.9787234042553192,0.9093617021276595
MI-10,0.9587234042553192,0.9693617021276595,0.9787234042553192,0.8893617021276596
MI-15,0.9387234042553192,0.9587234042553192,0.9587234042553192,0.9093617021276595
MI-20,0.9693617021276595,0.98,0.9693617021276595,0.9187234042553192
MI-25,0.9493617021276596,0.9587234042553192,0.9693617021276595,0.9187234042553192
MI-30,0.9693617021276595,0.9680851063829787,0.9693617021276595,0.9187234042553192
RFGini-5,0.9387234042553192,0.9387234042553192,0.9587234042553192,0.8893617021276596
RFGini-10,0.8987234042553192,0.8987234042553192,0.9587234042553192,0.8893617021276596
RFGini-15,0.9187234042553192,0.9693617021276595,0.9587234042553192,0.9093617021276595
RFGini-20,0.9387234042553192,0.9387234042553192,0.9587234042553192,0.9293617021276596
RFGini-25,0.96,0.9693617021276595,0.9693617021276595,0.9093617021276595
RFGini-30,0.9293617021276596,0.98,0.9693617021276595,0.9093617021276595
RFEtry-5,0.9187234042553192,0.9587234042553192,0.9587234042553192,0.9293617021276596
RFEtry-10,0.8987234042553192,0.8987234042553192,0.9387234042553192,0.8893617021276596
RFEtry-15,0.9187234042553192,0.9187234042553192,0.9587234042553192,0.9093617021276595
RFEtry-20,0.9587234042553192,0.9587234042553192,0.9587234042553192,0.9293617021276596
RFEtry-25,0.9387234042553192,0.9693617021276595,0.9587234042553192,0.8893617021276596
RFEtry-30,0.9280851063829787,0.9787234042553192,0.9587234042553192,0.9293617021276596
OA-5,0.9187234042553192,0.94,0.925531914893617,0.86
OA-10,0.96,0.9493617021276596,1.0,0.94
OA-15,0.9387234042553192,0.9693617021276595,1.0,0.9293617021276596
OA-20,0.9387234042553192,0.9893617021276595,1.0,0.9199999999999999
OA-25,0.96,0.9693617021276595,1.0,0.98
OA-30,0.96,0.98,1.0,0.96
