,kNN,SVM,Gaussian-NB,LDA
RlfF-5,0.935483870967742,0.9516129032258065,0.9866666666666667,0.9193548387096775
RlfF-10,0.935483870967742,0.9516129032258065,0.9966666666666666,0.8870967741935484
RlfF-15,0.9193548387096775,0.9482795698924731,0.9805376344086021,0.8709677419354839
RlfF-20,0.8870967741935484,0.9482795698924731,0.9772043010752689,0.9032258064516129
RlfF-25,0.9516129032258065,0.935483870967742,0.9772043010752689,0.9032258064516129
RlfF-30,0.935483870967742,0.9321505376344086,0.9805376344086021,0.9032258064516129
MSurf-5,0.967741935483871,0.9482795698924731,0.9933333333333334,0.935483870967742
MSurf-10,0.9516129032258065,0.9838709677419355,0.99,0.9193548387096775
MSurf-15,0.967741935483871,0.9838709677419355,0.99,0.967741935483871
MSurf-20,0.9838709677419355,0.967741935483871,0.99,0.967741935483871
MSurf-25,0.967741935483871,0.967741935483871,0.9933333333333334,0.967741935483871
MSurf-30,0.967741935483871,0.967741935483871,0.9933333333333334,0.9516129032258065
RlfI-5,0.7703225806451612,0.766989247311828,0.8053763440860215,0.7575268817204301
RlfI-10,0.7124731182795699,0.8737634408602151,0.8598924731182795,0.786989247311828
RlfI-15,0.8387096774193548,0.8220430107526882,0.927741935483871,0.8320430107526882
RlfI-20,0.7903225806451613,0.8770967741935484,0.937741935483871,0.9126881720430108
RlfI-25,0.7386021505376343,0.8737634408602151,0.9244086021505376,0.8643010752688172
RlfI-30,0.8064516129032258,0.8804301075268817,0.9505376344086022,0.8676344086021506
RlfLM-5,1.0,0.9838709677419355,0.9766666666666667,0.9838709677419355
RlfLM-10,0.9516129032258065,0.967741935483871,0.9833333333333334,0.967741935483871
RlfLM-15,0.9838709677419355,0.9838709677419355,0.98,0.967741935483871
RlfLM-20,0.967741935483871,0.9838709677419355,0.9833333333333334,0.967741935483871
RlfLM-25,0.9516129032258065,0.967741935483871,0.9866666666666667,0.967741935483871
RlfLM-30,0.9516129032258065,0.9838709677419355,0.9833333333333334,0.967741935483871
MI-5,0.967741935483871,0.967741935483871,0.99,0.935483870967742
MI-10,0.967741935483871,0.9838709677419355,0.9966666666666666,0.9516129032258065
MI-15,0.967741935483871,0.9838709677419355,0.9966666666666666,0.967741935483871
MI-20,0.967741935483871,0.9838709677419355,1.0,0.967741935483871
MI-25,0.967741935483871,0.9838709677419355,0.9838709677419355,0.967741935483871
MI-30,0.9838709677419355,0.967741935483871,0.9838709677419355,0.9516129032258065
FT-5,0.967741935483871,0.967741935483871,0.9866666666666667,0.9516129032258065
FT-10,0.967741935483871,0.967741935483871,0.99,0.9838709677419355
FT-15,0.967741935483871,0.9516129032258065,0.99,0.967741935483871
FT-20,0.967741935483871,0.9516129032258065,0.9866666666666667,0.9516129032258065
FT-25,0.967741935483871,0.9516129032258065,0.9866666666666667,0.9516129032258065
FT-30,0.967741935483871,0.9516129032258065,0.99,0.935483870967742
RFGini-5,0.9838709677419355,0.9838709677419355,0.9805376344086021,0.967741935483871
RFGini-10,0.967741935483871,0.967741935483871,0.9966666666666666,0.967741935483871
RFGini-15,0.967741935483871,0.967741935483871,0.9838709677419355,0.967741935483871
RFGini-20,0.967741935483871,0.9838709677419355,0.9805376344086021,0.967741935483871
RFGini-25,0.9516129032258065,0.9516129032258065,0.9838709677419355,0.9516129032258065
RFGini-30,0.967741935483871,0.9516129032258065,0.9838709677419355,0.935483870967742
RFEtry-5,0.9516129032258065,0.967741935483871,0.9772043010752689,0.935483870967742
RFEtry-10,0.967741935483871,0.967741935483871,0.9966666666666666,0.967741935483871
RFEtry-15,0.967741935483871,0.967741935483871,0.9966666666666666,0.9516129032258065
RFEtry-20,0.967741935483871,0.9838709677419355,0.9838709677419355,0.967741935483871
RFEtry-25,0.967741935483871,0.9838709677419355,0.9838709677419355,0.967741935483871
RFEtry-30,0.967741935483871,0.967741935483871,0.9838709677419355,0.9516129032258065
OA-5,0.9382795698924731,0.9516129032258065,0.9933333333333334,0.8387096774193548
OA-10,0.967741935483871,0.9482795698924731,0.9966666666666666,0.9516129032258065
OA-15,0.967741935483871,0.967741935483871,0.9966666666666666,0.967741935483871
OA-20,0.967741935483871,0.9644086021505376,0.9966666666666666,0.9516129032258065
OA-25,0.967741935483871,0.967741935483871,0.9966666666666666,0.967741935483871
OA-30,0.967741935483871,0.9838709677419355,0.9966666666666666,0.967741935483871
