,kNN,SVM,Gaussian-NB,LDA
RlfF-5,0.9126923076923077,0.9219230769230768,0.9015384615384616,0.9130769230769231
RlfF-10,0.9515384615384616,0.9511538461538461,0.9011538461538462,0.9223076923076923
RlfF-15,0.9511538461538461,0.9411538461538461,0.9307692307692308,0.9315384615384615
RlfF-20,0.9515384615384616,0.9415384615384615,0.9207692307692308,0.9315384615384615
RlfF-25,0.9511538461538461,0.9611538461538461,0.9307692307692308,0.9415384615384615
RlfF-30,0.9511538461538461,0.9515384615384616,0.9407692307692308,0.9015384615384616
MSurf-5,0.8911538461538462,0.9115384615384616,0.8715384615384616,0.9219230769230768
MSurf-10,0.9215384615384616,0.9411538461538461,0.9103846153846153,0.9223076923076923
MSurf-15,0.9507692307692308,0.9707692307692308,0.9203846153846154,0.9511538461538461
MSurf-20,0.9407692307692308,0.9315384615384615,0.9211538461538462,0.9019230769230769
MSurf-25,0.9511538461538461,0.9315384615384615,0.9211538461538462,0.9215384615384616
MSurf-30,0.9507692307692308,0.9607692307692308,0.9407692307692308,0.9211538461538462
RlfI-5,0.8023076923076923,0.8526923076923076,0.7426923076923078,0.7638461538461538
RlfI-10,0.831923076923077,0.8726923076923077,0.8134615384615385,0.8223076923076923
RlfI-15,0.8715384615384616,0.8626923076923076,0.8530769230769231,0.8823076923076922
RlfI-20,0.9011538461538462,0.9215384615384616,0.8826923076923077,0.9411538461538461
RlfI-25,0.8915384615384616,0.9211538461538462,0.8826923076923077,0.9311538461538462
RlfI-30,0.8923076923076922,0.9415384615384615,0.9023076923076923,0.9123076923076923
RlfLM-5,0.8811538461538462,0.9111538461538462,0.8815384615384616,0.9219230769230768
RlfLM-10,0.9607692307692308,0.9415384615384615,0.9411538461538461,0.9319230769230769
RlfLM-15,0.9603846153846154,0.9111538461538462,0.9111538461538462,0.9415384615384615
RlfLM-20,0.9607692307692308,0.9611538461538461,0.9507692307692308,0.9315384615384615
RlfLM-25,0.9803846153846154,0.9707692307692308,0.9607692307692308,0.9603846153846154
RlfLM-30,0.9803846153846154,0.9707692307692308,0.9611538461538461,0.9411538461538461
MI-5,0.9315384615384615,0.9515384615384616,0.9311538461538462,0.9515384615384616
MI-10,0.9223076923076923,0.9323076923076923,0.9123076923076923,0.9319230769230769
MI-15,0.9411538461538461,0.9315384615384615,0.9319230769230769,0.9319230769230769
MI-20,0.9603846153846154,0.9123076923076923,0.9223076923076923,0.9015384615384616
MI-25,0.9507692307692308,0.9215384615384616,0.9323076923076923,0.9211538461538462
MI-30,0.9507692307692308,0.9407692307692308,0.9419230769230769,0.9311538461538462
FT-5,0.9130769230769231,0.9323076923076923,0.9319230769230769,0.9130769230769231
FT-10,0.9226923076923077,0.9319230769230769,0.9319230769230769,0.9226923076923077
FT-15,0.9323076923076923,0.9323076923076923,0.9419230769230769,0.9419230769230769
FT-20,0.9319230769230769,0.9219230769230768,0.9419230769230769,0.9126923076923077
FT-25,0.9319230769230769,0.9319230769230769,0.9419230769230769,0.9123076923076923
FT-30,0.9323076923076923,0.9323076923076923,0.9419230769230769,0.9023076923076923
RFGini-5,0.9315384615384615,0.9515384615384616,0.9311538461538462,0.9515384615384616
RFGini-10,0.9311538461538462,0.911923076923077,0.9511538461538461,0.9319230769230769
RFGini-15,0.9411538461538461,0.9315384615384615,0.9219230769230768,0.9319230769230769
RFGini-20,0.9411538461538461,0.9215384615384616,0.9223076923076923,0.9315384615384615
RFGini-25,0.9323076923076923,0.9215384615384616,0.9223076923076923,0.9315384615384615
RFGini-30,0.9315384615384615,0.9315384615384615,0.9319230769230769,0.9115384615384616
RFEtry-5,0.9315384615384615,0.9515384615384616,0.9311538461538462,0.9515384615384616
RFEtry-10,0.9215384615384616,0.9123076923076923,0.9415384615384615,0.9223076923076923
RFEtry-15,0.9411538461538461,0.9315384615384615,0.9123076923076923,0.9319230769230769
RFEtry-20,0.9407692307692308,0.9311538461538462,0.9223076923076923,0.9507692307692308
RFEtry-25,0.9311538461538462,0.911923076923077,0.9223076923076923,0.9211538461538462
RFEtry-30,0.9311538461538462,0.9415384615384615,0.9319230769230769,0.9403846153846154
OA-5,0.9115384615384616,0.9215384615384616,0.9211538461538462,0.9226923076923077
OA-10,0.9507692307692308,0.9219230769230768,0.9511538461538461,0.9223076923076923
OA-15,0.9411538461538461,0.9415384615384615,0.9319230769230769,0.9323076923076923
OA-20,0.9507692307692308,0.9215384615384616,0.9415384615384615,0.9211538461538462
OA-25,0.9311538461538462,0.9115384615384616,0.9415384615384615,0.9211538461538462
OA-30,0.9407692307692308,0.9411538461538461,0.9223076923076923,0.9211538461538462
